source	target	strength
T00123	R28305	0.98
T00123	R29092	0.98
T00123	R03522	0.98
T00123	R25249	0.98
T00123	R30937	0.98
T00123	R29953	0.98
T00123	R30031	0.98
T00123	R25803	0.98
T00123	R26674	0.98
T00123	R36379	0.98
T00123	R14786	0.98
T00123	R03105	0.98
T00123	R03104	0.98
T00123	R64459	0.98
T00123	R67678	0.98
T00123	R26793	0.98
T00123	R00235	0.98
T00123	R09882	0.98
T00123	R26528	0.98
T00123	R28553	0.98
T00123	R25054	0.98
T00123	R34900	0.98
T00123	R01037	0.98
T00123	R26884	0.98
T00123	R18404	0.98
T00123	R32816	0.98
T00123	R22366	0.98
T00123	R35944	0.98
T00123	R19727	0.98
T00123	R19728	0.98
T00123	R11383	0.98
T00123	R01258	0.98
T00123	R36611	0.98
T00123	R08494	0.98
T00123	R64946	0.98
T00123	R25000	0.98
T00123	R38461	0.98
T00123	R59490	0.98
T00123	R27963	0.98
T00123	R32291	0.98
T00123	R29975	0.98
T00123	R62946	0.98
T00123	R67340	0.98
T00123	R31558	0.98
T00123	R67305	0.98
T00123	R67309	0.98
T00123	R31592	0.98
T00123	R60945	0.98
T00123	R01564	0.98
T00123	R17130	0.98
T00123	R37726	0.98
T00123	R02454	0.98
T00123	R14971	0.98
T00123	R23242	0.98
T00123	R03386	0.98
T00123	R14160	0.98
T00123	R60089	0.98
T00123	R01285	0.98
T00123	R30931	0.98
T00133	R02963	0.98
T00133	R03082	0.98
T00133	R03533	0.98
T00133	R20747	0.98
T00133	R25003	0.98
T00133	R23156	0.98
T00133	R24028	0.98
T00133	R25291	0.98
T00133	R29956	0.98
T00133	R00199	0.98
T00133	R64855	0.98
T00133	R66333	0.98
T00133	R63058	0.98
T00133	R60543	0.98
T00133	R57580	0.98
T00133	R20759	0.98
T00133	R11553	0.98
T00133	R15123	0.98
T00133	R40927	0.98
T00133	R02420	0.98
T00133	R62972	0.98
T00133	R62973	0.98
T00133	R21775	0.98
T00133	R62338	0.98
T00133	R26587	0.98
T00133	R30618	0.98
T00133	R62608	0.98
T00133	R08102	0.98
T00133	R25008	0.98
T00133	R25298	0.98
T00133	R65615	0.98
T00133	R27992	0.98
T00133	R21383	0.98
T00133	R67452	0.98
T00133	R67453	0.98
T00133	R67454	0.98
T00133	R67346	0.98
T00133	R67348	0.98
T00133	R68064	0.98
T00133	R32256	0.98
T00133	R32257	0.98
T00133	R62977	0.98
T00133	R62914	0.98
T00133	R34933	0.98
T00133	R30365	0.98
T00133	R30605	0.98
T00133	R28264	0.98
T00133	R59117	0.98
T00133	R59118	0.98
T00133	R64931	0.98
T00133	R64932	0.98
T00133	R64934	0.98
T00133	R64935	0.98
T00133	R24143	0.98
T00133	R41717	0.98
T00133	R61970	0.98
T00133	R61972	0.98
T00133	R26710	0.98
T00133	R65485	0.98
T00133	R36308	0.98
T00133	R04127	0.98
T00133	R61832	0.98
T00133	R26909	0.98
T00133	R20982	0.98
T00133	R29738	0.98
T00133	R25208	0.98
T00133	R14540	0.98
T00133	R67078	0.98
T00133	R60801	0.98
T00133	R55747	0.98
T00133	R36614	0.98
T00133	R32275	0.98
T00133	R14730	0.98
T00133	R36330	0.98
T00133	R20615	0.98
T00133	R19568	0.98
T00133	R19569	0.98
T00133	R23150	0.98
T00133	R39947	0.98
T00133	R28518	0.98
T00133	R32843	0.98
T00133	R39854	0.98
T00133	R66419	0.98
T00133	R26802	0.98
T00133	R31706	0.98
T00133	R31708	0.98
T00133	R41737	0.98
T00133	R28548	0.98
T00133	R29722	0.98
T00133	R25290	0.98
T00133	R35430	0.98
T00133	R29092	0.98
T00133	R29093	0.98
T00133	R34716	0.98
T00133	R03522	0.98
T00133	R25249	0.98
T00133	R60811	0.98
T00133	R14544	0.98
T00133	R29953	0.98
T00133	R25018	0.98
T00133	R30031	0.98
T00133	R26674	0.98
T00133	R39833	0.98
T00133	R31024	0.98
T00133	R66292	0.98
T00133	R31611	0.98
T00133	R14725	0.98
T00133	R26758	0.98
T00133	R08483	0.98
T00133	R09953	0.98
T00133	R14786	0.98
T00133	R64355	0.98
T00133	R38717	0.98
T00133	R42519	0.98
T00133	R42520	0.98
T00133	R62790	0.98
T00133	R62791	0.98
T00133	R59991	0.98
T00133	R64459	0.98
T00133	R64460	0.98
T00133	R59836	0.98
T00133	R67678	0.98
T00133	R37694	0.98
T00133	R26793	0.98
T00133	R26797	0.98
T00133	R00235	0.98
T00133	R09882	0.98
T00133	R24701	0.98
T00133	R25170	0.98
T00133	R26528	0.98
T00133	R28553	0.98
T00133	R34213	0.98
